# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/ledger.ts; date 2026-09-25T21:07:57.954Z
claim_id	source	claim	evidence	command	result	note
C077	MVP_PLAN:104-105	Poll, result retrieval and cancellation cross the host boundary; cleanup stays in Wasm	spec/conformance/runtime/valid/cancellation-runs-defer.hd	hd check --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd && hd test --scenario cancellation-cleanup --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd	verified	
C078	MVP_PLAN:108;README:95	Each host invocation has an opaque token; calls from the same site stay distinct	audit/evidence/02-claims/host-token.log ; audit/probes/claims/host/token-and-scalars.hd	node --experimental-strip-types audit/scripts/coverage/host-token.ts ; hd check audit/probes/claims/host/token-and-scalars.hd	verified	sequential calls only; concurrent calls need all!/race!, which are unsupported
C079	MVP_PLAN:110-111;README:197	Cold GC-frame construction: body does not run until driven	audit/probes/claims/p66-cold-construction.hd ; test/fixtures/suspension/01-suspending-functions-construct-gc-frames-and-bang-calls-drive-them.hd	hd test audit/probes/claims/p66-cold-construction.hd ; hd run --entry main test/fixtures/suspension/01-suspending-functions-construct-gc-frames-and-bang-calls-drive-them.hd	verified	
C080	MVP_PLAN:111;README:197	Construction-time provider capture, including child frames created later	spec/conformance/runtime/valid/construction-provider-capture.hd ; audit/probes/gates/s3-nested-provider-capture.hd	hd check spec/conformance/runtime/valid/construction-provider-capture.hd && hd test spec/conformance/runtime/valid/construction-provider-capture.hd ; hd check audit/probes/gates/s3-nested-provider-capture.hd && hd test audit/probes/gates/s3-nested-provider-capture.hd	verified	
C081	MVP_PLAN:111-112;README:199-200	One-shot state checks: second drive traps	audit/probes/claims/p67-second-drive.hd ; spec/conformance/runtime/panic/second-suspension-drive.hd	hd check audit/probes/claims/p67-second-drive.hd && hd run audit/probes/claims/p67-second-drive.hd ; hd check spec/conformance/runtime/panic/second-suspension-drive.hd && hd test spec/conformance/runtime/panic/second-suspension-drive.hd	verified	
C082	MVP_PLAN:112	Synchronous cancellation of cold suspensions is idempotent	test/fixtures/suspension/07-cold-suspension-cancellation-is-synchronous-and-idempotent.hd	hd run --entry main test/fixtures/suspension/07-cold-suspension-cancellation-is-synchronous-and-idempotent.hd	verified	
C083	MVP_PLAN:112-114;README:204-206	std.task.block_on drives a mutable stored suspension from non-suspending code	audit/probes/claims/p69-fn-bang-weakening.hd ; test/fixtures/suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers.hd	hd test audit/probes/claims/p69-fn-bang-weakening.hd ; hd run --entry main test/fixtures/suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers.hd	verified	
C084	MVP_PLAN:114-116;README:206	Driver guard rejects nested and competing drivers; reentrant poll/cancel rejected	audit/probes/claims/p72-block-on-nested.hd ; spec/conformance/runtime/panic/competing-suspension-drivers.hd ; spec/conformance/runtime/panic/reentrant-suspension-poll.hd ; spec/conformance/runtime/panic/reentrant-cancel.hd	hd check audit/probes/claims/p72-block-on-nested.hd && hd run audit/probes/claims/p72-block-on-nested.hd ; hd check spec/conformance/runtime/panic/competing-suspension-drivers.hd && hd test --scenario competing-drivers spec/conformance/runtime/panic/competing-suspension-drivers.hd ; hd check spec/conformance/runtime/panic/reentrant-suspension-poll.hd && hd test --scenario reentrant-poll spec/confo	verified	
C085	MVP_PLAN:116-120;README:201-203	Uniform Suspend[T] wrapper preserves identity through fields, optionals, generics, aliases	test/fixtures/compiler-types/identity/references/gc-identity.hd ; test/fixtures/suspension/34-stored-suspension-crosses-function-boundary.hd	hd run --entry main test/fixtures/compiler-types/identity/references/gc-identity.hd ; hd test test/fixtures/suspension/34-stored-suspension-crosses-function-boundary.hd	verified	
C086	MVP_PLAN:121-125;README:74-76	fn! values: ordinary calls construct, bang calls drive, weaken one way to fn(...) -> mut Suspend[T]	audit/probes/claims/p69-fn-bang-weakening.hd ; audit/probes/claims/p70-fn-bang-no-upgrade.hd ; test/fixtures/suspension/37-named-suspending-function-values-construct-stored-frames.hd ; test/fixtures/suspension/40-lowered-suspension-constructor-does-not-upgrade.hd	hd test audit/probes/claims/p69-fn-bang-weakening.hd ; hd check audit/probes/claims/p70-fn-bang-no-upgrade.hd ; hd test test/fixtures/suspension/37-named-suspending-function-values-construct-stored-frames.hd ; hd check test/fixtures/suspension/40-lowered-suspension-constructor-does-not-upgrade.hd	verified	
C087	MVP_PLAN:122-124	Capturing suspending closures are first-class and forward requirements	test/fixtures/suspension/38-suspending-closures-capture-values-in-gc-frames.hd ; test/fixtures/suspension/39-suspending-closure-values-forward-requirements.hd	hd test test/fixtures/suspension/38-suspending-closures-capture-values-in-gc-frames.hd ; hd test test/fixtures/suspension/39-suspending-closure-values-forward-requirements.hd	verified	
C088	MVP_PLAN:126-129;README:77-78	Waker is a sealed dynamic value; chapter-11 fixture type-checks and executes	spec/conformance/typing/valid/requirements-and-suspension.hd ; spec/conformance/typing/valid/requirements-and-suspension.hd	hd check spec/conformance/typing/valid/requirements-and-suspension.hd ; hd check && hd build --wat && hd test spec/conformance/typing/valid/requirements-and-suspension.hd	verified	
C089	MVP_PLAN:130-133;README:199	Child Pending propagates to the parent; locals spill and resume	test/fixtures/suspension/13-child-pending-propagates-through-the-parent-frame-and-restores-locals.hd ; test/fixtures/suspension/16-linear-suspension-frames-resume-across-multiple-child-sites.hd	hd run --entry main test/fixtures/suspension/13-child-pending-propagates-through-the-parent-frame-and-restores-locals.hd ; hd run --entry main test/fixtures/suspension/16-linear-suspension-frames-resume-across-multiple-child-sites.hd	verified	
C090	MVP_PLAN:133-136;README:215-217	Suspension CFG keeps left-to-right order through arguments, short-circuit, branches, loops, guards	audit/probes/claims/p65-suspension-arg-order.hd ; test/fixtures/suspension/18-cfg-suspension-lowering-preserves-nested-argument-order.hd ; test/fixtures/suspension/21-cfg-suspension-lowering-preserves-match-bindings-and-suspending-guards.hd	hd test audit/probes/claims/p65-suspension-arg-order.hd ; hd run --entry main test/fixtures/suspension/18-cfg-suspension-lowering-preserves-nested-argument-order.hd ; hd run --entry main test/fixtures/suspension/21-cfg-suspension-lowering-preserves-match-bindings-and-suspending-guards.hd	verified	
C091	MVP_PLAN:136-137;README:232-233	Started cancellation cancels the active child, then runs registered defer suites innermost first	audit/probes/gates/s3-cancel-order-3-frames.hd ; audit/probes/gates/s3-cancel-lifo-within-frame.hd ; audit/probes/gates/s3-cancel-unreached-defer.hd ; spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd	hd check audit/probes/gates/s3-cancel-order-3-frames.hd && hd test --scenario cancellation-cleanup --pending-function wait audit/probes/gates/s3-cancel-order-3-frames.hd ; hd check audit/probes/gates/s3-cancel-lifo-within-frame.hd && hd test --scenario cancellation-cleanup --pending-function wait audit/probes/gates/s3-cancel-lifo-within-frame.hd ; hd check audit/probes/gates/s3-cancel-unreached-de	verified	
C092	MVP_PLAN:137-139;README:221-223	Portable scenario cancels root while a named nested frame is pending	spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd ; spec/conformance/runtime/valid/cancellation-unwinds-suspending-closure.hd	hd check spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd && hd test --scenario cancellation-cleanup --pending-function wait spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd ; hd check --profile pending-gate spec/conformance/runtime/valid/cancellation-unwinds-suspending-closure.hd && hd test --scenario cancellation-cleanup --profile pending-gate spec/conform	verified	
C093	MVP_PLAN:139-140;README:218-220	Trace ABI exposes construct/poll/ready/cancel events	audit/evidence/02-claims/cli.log ; test/fixtures/suspension/10-suspension-state-transitions-are-observable-through-the-trace-abi.hd	see cli.log (trace) ; hd run --entry main test/fixtures/suspension/10-suspension-state-transitions-are-observable-through-the-trace-abi.hd	verified	
C094	MVP_PLAN:140-141;README:224-226	pending-gate profile observes provider-backed pending and cancellation	spec/conformance/runtime/valid/cancellation-runs-defer.hd	hd check --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd && hd test --scenario cancellation-cleanup --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd	verified	
C095	MVP_PLAN:142-144;README:272	all! and race! receive unsupported-task-combinator	audit/probes/claims/p71-task-combinator.hd ; test/fixtures/suspension/05-unresolved-race-task-combinator.hd	hd check audit/probes/claims/p71-task-combinator.hd ; hd check test/fixtures/suspension/05-unresolved-race-task-combinator.hd	verified	
C096	MVP_PLAN:146-148;README:210	assert preserves source argument order and traps on false	audit/probes/claims/p15-assert-arg-order.hd ; test/fixtures/compiler/assert-failure-panics.hd	hd test audit/probes/claims/p15-assert-arg-order.hd ; hd check test/fixtures/compiler/assert-failure-panics.hd && hd run test/fixtures/compiler/assert-failure-panics.hd	verified	
C097	MVP_PLAN:148-152;README:211-214	assert_equal: structural equality incl. order-independent maps; nominal and generic PartialEq; missing-partial-eq	audit/probes/claims/p43-equality-structural.hd ; spec/conformance/typing/invalid/assert-equal-non-eq.hd ; test/fixtures/suspension/30-imported-assert-equal-compares-supported-structural-values.hd	hd test audit/probes/claims/p43-equality-structural.hd ; hd check spec/conformance/typing/invalid/assert-equal-non-eq.hd ; hd run --entry main test/fixtures/suspension/30-imported-assert-equal-compares-supported-structural-values.hd	verified	
C098	MVP_PLAN:152	assert and assert_equal require the reason argument	test/fixtures/suspension/30-imported-assert-equal-compares-supported-structural-values-missing-partial-eq.hd ; audit/probes/claims/p94-assert-needs-reason.hd	hd check test/fixtures/suspension/30-imported-assert-equal-compares-supported-structural-values-missing-partial-eq.hd ; hd check audit/probes/claims/p94-assert-needs-reason.hd	verified	
C099	MVP_PLAN:154-158;README:262-266	Runtime failures cross the host with stable categories	audit/probes/claims/p21-overflow-panics.hd ; audit/probes/claims/p22-min-div-neg-one.hd ; audit/probes/claims/p23-div-zero.hd ; audit/probes/claims/p26-shift.hd ; audit/probes/claims/p27-list-bounds.hd ; audit/probes/claims/p28-iter-list-growth.hd ; audit/probes/claims/p74-panic-skips-defer.hd	hd check audit/probes/claims/p21-overflow-panics.hd && hd run audit/probes/claims/p21-overflow-panics.hd ; hd check audit/probes/claims/p22-min-div-neg-one.hd && hd run audit/probes/claims/p22-min-div-neg-one.hd ; hd check audit/probes/claims/p23-div-zero.hd && hd run audit/probes/claims/p23-div-zero.hd ; hd check audit/probes/claims/p26-shift.hd && hd run audit/probes/claims/p26-shift.hd ; hd che	verified	
C100	MVP_PLAN:160-162;README:147-149	Erased generics with anyref ABI, primitive boxing (incl. NaN/-0/extremes), inference through optional/Result	audit/probes/claims/p41-generic-nan-negzero.hd ; test/fixtures/compiler-types/generics/functions/inference-and-boxing.hd ; test/fixtures/compiler-types/generics/option-result.hd	hd test audit/probes/claims/p41-generic-nan-negzero.hd ; hd run --entry main test/fixtures/compiler-types/generics/functions/inference-and-boxing.hd && hd run --entry float_value test/fixtures/compiler-types/generics/functions/inference-and-boxing.hd ; hd run --entry main test/fixtures/compiler-types/generics/option-result.hd	verified	
C101	MVP_PLAN:162-163;README:150-151	Generic suspending functions retain boxed values and dictionaries across polls	test/fixtures/suspension/02-generic-suspending-functions-box-frame-arguments-and-unbox-direct-or-sto.hd ; test/fixtures/suspension/03-generic-suspension-frames-retain-trait-dictionaries-across-child-polls.hd	hd run --entry main test/fixtures/suspension/02-generic-suspending-functions-box-frame-arguments-and-unbox-direct-or-sto.hd ; hd run --entry main test/fixtures/suspension/03-generic-suspension-frames-retain-trait-dictionaries-across-child-polls.hd	verified	
C102	MVP_PLAN:163-165;README:149	Higher-order generic callable adapters	test/fixtures/compiler-types/generics/callable-adapter.hd	hd run --entry main test/fixtures/compiler-types/generics/callable-adapter.hd	verified	
C103	MVP_PLAN:165-169;README:152-154	Traits: missing/mismatched/duplicate/ambiguous method checks, static dispatch, dynamic trait values	audit/probes/claims/p79-ambiguous-method.hd ; test/fixtures/compiler-types/traits/diagnostics/missing-method.hd ; test/fixtures/compiler-types/traits/diagnostics/mismatched-signature.hd ; test/fixtures/compiler-types/traits/dispatch.hd	hd check audit/probes/claims/p79-ambiguous-method.hd ; hd check test/fixtures/compiler-types/traits/diagnostics/missing-method.hd ; hd check test/fixtures/compiler-types/traits/diagnostics/mismatched-signature.hd ; hd run --entry main test/fixtures/compiler-types/traits/dispatch.hd	verified	
C104	MVP_PLAN:169-170;README:193-194	Trait values as lexical providers and inside generic requirement packs	test/fixtures/compiler-types/traits/providers.hd	hd run --entry main test/fixtures/compiler-types/traits/providers.hd	verified	
C105	MVP_PLAN:170-173;README:179-182	Independent dictionaries for multiple bounds, forwarding, returned T recovery	test/fixtures/compiler-types/traits/multiple-bounds/dictionary-forwarding.hd ; test/fixtures/compiler-types/traits/generic-bounds/dictionary-dispatch.hd	hd run --entry main test/fixtures/compiler-types/traits/multiple-bounds/dictionary-forwarding.hd ; hd run --entry main test/fixtures/compiler-types/traits/generic-bounds/dictionary-dispatch.hd	verified	
C106	MVP_PLAN:173-174;README:172-173	Default methods lower per target, call other methods, explicit overrides win	audit/probes/claims/p75-trait-default-override.hd ; test/fixtures/compiler-types/traits/defaults/override.hd	hd test audit/probes/claims/p75-trait-default-override.hd ; hd run --entry main test/fixtures/compiler-types/traits/defaults/override.hd	verified	
C107	MVP_PLAN:175-177;README:177-178	Suspending trait methods: static, dynamic, bound, stored, default, cancellation	test/fixtures/compiler-types/traits/suspending-dispatch.hd ; test/fixtures/compiler-types/traits/suspending-defaults.hd ; test/fixtures/compiler-types/traits/suspending-cancel.hd	hd run --entry main test/fixtures/compiler-types/traits/suspending-dispatch.hd ; hd run --entry main test/fixtures/compiler-types/traits/suspending-defaults.hd ; hd check test/fixtures/compiler-types/traits/suspending-cancel.hd	verified	
C108	MVP_PLAN:177-179;README:155-156	mut self enforced through static, dynamic, default and bounded calls	audit/probes/claims/p76-mut-self.hd ; audit/probes/claims/p77-mut-self-dynamic-runs.hd ; test/fixtures/compiler-types/traits/mutable-errors/readonly-dynamic.hd	hd check audit/probes/claims/p76-mut-self.hd ; hd test audit/probes/claims/p77-mut-self-dynamic-runs.hd ; hd check test/fixtures/compiler-types/traits/mutable-errors/readonly-dynamic.hd	verified	
C109	MVP_PLAN:179-180;README:207-209	std.resource.ResourceError[E] is a generic Operation(E) | Disposed enum	audit/probes/claims/p90-resource-error.hd ; test/fixtures/compiler/56-imported-resourceerror-is-a-generic-wasm-gc-enum.hd	hd test audit/probes/claims/p90-resource-error.hd ; hd run --entry main test/fixtures/compiler/56-imported-resourceerror-is-a-generic-wasm-gc-enum.hd	verified	
C110	MVP_PLAN:180-181;README:157-160	Inherent methods share the direct ABI incl. mutable, suspending, generic and duplicate-member checks	test/fixtures/compiler-types/traits/inherent-methods.hd ; spec/conformance/typing/invalid/duplicate-inherent-member.hd ; test/fixtures/compiler/64-generic-methods-infer-and-erase-type-arguments.hd	hd run --entry main test/fixtures/compiler-types/traits/inherent-methods.hd ; hd check spec/conformance/typing/invalid/duplicate-inherent-member.hd ; hd run --entry explicit_right test/fixtures/compiler/64-generic-methods-infer-and-erase-type-arguments.hd && hd run --entry inferred_right test/fixtures/compiler/64-generic-methods-infer-and-erase-type-arguments.hd && hd run --entry bounded_display t	verified	
C111	MVP_PLAN:182-185;README:168-171	Embedded fields promote fields and methods; bodyless trait opt-in; mutable promotion rejected	audit/probes/claims/p82-embedded-promotion.hd ; spec/conformance/typing/valid/embedded-trait-opt-in.hd ; spec/conformance/typing/invalid/embedded-mut-trait-bodyless.hd	hd test audit/probes/claims/p82-embedded-promotion.hd ; hd check spec/conformance/typing/valid/embedded-trait-opt-in.hd ; hd check spec/conformance/typing/invalid/embedded-mut-trait-bodyless.hd	verified	
C112	MVP_PLAN:188-189;README:161-162	Receiverless associated functions via Type::function	test/fixtures/compiler/66-associated-functions-use-qualified-static-calls.hd ; test/fixtures/suspension/42-suspending-associated-functions-preserve-generic-results.hd	hd run --entry month_days test/fixtures/compiler/66-associated-functions-use-qualified-static-calls.hd && hd run --entry selected test/fixtures/compiler/66-associated-functions-use-qualified-static-calls.hd ; hd test test/fixtures/suspension/42-suspending-associated-functions-preserve-generic-results.hd	verified	
C113	MVP_PLAN:189-192	Generic trait impls; explicit trait qualification resolves ambiguity; overlapping heads rejected	test/fixtures/compiler/69-trait-qualified-calls-select-ambiguous-methods.hd ; test/fixtures/compiler/70-generic-trait-qualified-calls-select-an-instantiation.hd ; test/fixtures/compiler/68-generic-implementation-heads-cannot-overlap.hd	hd run --entry qualified_total test/fixtures/compiler/69-trait-qualified-calls-select-ambiguous-methods.hd ; hd run --entry add_qualified test/fixtures/compiler/70-generic-trait-qualified-calls-select-an-instantiation.hd && hd run --entry add_dynamic test/fixtures/compiler/70-generic-trait-qualified-calls-select-an-instantiation.hd && hd run --entry add_bounded test/fixtures/compiler/70-generic-tr	verified	
C114	MVP_PLAN:193-199;README:163-167	Blanket impls materialize dictionaries for dynamic values and bounds, incl. nested dictionaries	audit/probes/claims/p81-blanket.hd ; test/fixtures/compiler/76-blanket-implementations-materialize-dynamic-and-bound-dictionaries.hd ; test/fixtures/compiler/76-bounded-blanket-implementations-capture-erased-dictionaries.hd ; test/fixtures/suspension/43-blanket-implementations-materialize-suspending-dictionaries.hd	hd test audit/probes/claims/p81-blanket.hd ; hd run --entry blanket_dynamic test/fixtures/compiler/76-blanket-implementations-materialize-dynamic-and-bound-dictionaries.hd && hd run --entry blanket_bound test/fixtures/compiler/76-blanket-implementations-materialize-dynamic-and-bound-dictionaries.hd && hd run --entry trait_argument_only_blanket test/fixtures/compiler/76-blanket-implementations-mate	verified	
C115	MVP_PLAN:200-202	Associated type bindings specialize Self::Item and T::Item projections	audit/probes/claims/p80-assoc-type.hd ; test/fixtures/compiler/72-associated-types-specialize-self-projections.hd	hd test audit/probes/claims/p80-assoc-type.hd ; hd run --entry projected_value test/fixtures/compiler/72-associated-types-specialize-self-projections.hd && hd run --entry concrete_projected_value test/fixtures/compiler/72-associated-types-specialize-self-projections.hd && hd run --entry bounded_projected_value test/fixtures/compiler/72-associated-types-specialize-self-projections.hd && hd run --en	verified	
C116	MVP_PLAN:203	Mutable bounds preserve root access and reject readonly arguments	test/fixtures/compiler/74-mutable-trait-bounds-preserve-root-access.hd ; test/fixtures/compiler/74-mutable-trait-bounds-reject-readonly-roots.hd	hd run --entry cleared_value test/fixtures/compiler/74-mutable-trait-bounds-preserve-root-access.hd ; hd check test/fixtures/compiler/74-mutable-trait-bounds-reject-readonly-roots.hd	verified	
C117	MVP_PLAN:203-205	Supertraits reject cycles and require the parent implementation	audit/probes/claims/p78-supertrait-cycle.hd ; spec/conformance/typing/invalid/supertrait-cycle.hd ; test/fixtures/compiler/73-supertraits-reject-missing-parent-implementations.hd	hd check audit/probes/claims/p78-supertrait-cycle.hd ; hd check spec/conformance/typing/invalid/supertrait-cycle.hd ; hd check test/fixtures/compiler/73-supertraits-reject-missing-parent-implementations.hd	verified	
C118	MVP_PLAN:205-208;README:174-176	Generic supertraits substitute parent arguments; widening only to matching parent instantiation	test/fixtures/compiler/77-generic-supertraits-substitute-parent-arguments.hd ; test/fixtures/compiler/77-generic-supertraits-reject-incompatible-upcasts.hd ; test/fixtures/compiler/78-bounded-blanket-supertraits-capture-parent-dictionaries.hd	hd run --entry generic_supertrait_direct test/fixtures/compiler/77-generic-supertraits-substitute-parent-arguments.hd && hd run --entry generic_supertrait_bound test/fixtures/compiler/77-generic-supertraits-substitute-parent-arguments.hd && hd run --entry generic_supertrait_dynamic test/fixtures/compiler/77-generic-supertraits-substitute-parent-arguments.hd && hd run --entry generic_supertrait_wid	verified	
C119	MVP_PLAN:208-211;README:187-189	Generic data: one erased layout, inferred or explicit type arguments	test/fixtures/compiler-types/data/generic/erased-layout.hd ; spec/conformance/runtime/valid/generic-data-embedding.hd	hd run --entry main test/fixtures/compiler-types/data/generic/erased-layout.hd ; hd check spec/conformance/runtime/valid/generic-data-embedding.hd && hd test spec/conformance/runtime/valid/generic-data-embedding.hd	verified	
C120	MVP_PLAN:211-212;README:190-192	Generic enums with erased payloads and recursive fields	test/fixtures/compiler-types/enums/generic/erased-payloads.hd	hd run --entry main test/fixtures/compiler-types/enums/generic/erased-payloads.hd	verified	
C121	MVP_PLAN:212-214;README:244-246	list[T]: literals, indexing, len, mutable append over growable storage	test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage.hd ; test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage-mutable-receiver-required.hd	hd run --entry main test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage.hd ; hd check test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage-mutable-receiver-required.hd	verified	
C122	MVP_PLAN:214-216;README:250-252	Iterators: next yields T?, stays exhausted, partly consumed cursor continues in for	audit/probes/claims/p31-iter-exhausted.hd ; spec/conformance/runtime/valid/list-iterator.hd	hd test audit/probes/claims/p31-iter-exhausted.hd ; hd check spec/conformance/runtime/valid/list-iterator.hd && hd test spec/conformance/runtime/valid/list-iterator.hd	verified	
C123	MVP_PLAN:216-218;README:252	Replacement is visible without invalidation; growth, insertion, removal invalidate	audit/probes/claims/p29-iter-map-replacement-ok.hd ; audit/probes/claims/p28-iter-list-growth.hd ; audit/probes/claims/p30-iter-map-remove.hd ; spec/conformance/runtime/panic/map-iterator-invalidated.hd	hd test audit/probes/claims/p29-iter-map-replacement-ok.hd ; hd check audit/probes/claims/p28-iter-list-growth.hd && hd run audit/probes/claims/p28-iter-list-growth.hd ; hd check audit/probes/claims/p30-iter-map-remove.hd && hd run audit/probes/claims/p30-iter-map-remove.hd ; hd check spec/conformance/runtime/panic/map-iterator-invalidated.hd && hd test spec/conformance/runtime/panic/map-iterator-	verified	
C124	MVP_PLAN:220-222;README:253-254	User Iterator[T] implementations drive for loops and comprehensions	audit/probes/claims/p83-iterator-impl.hd ; test/fixtures/compiler/63-generic-iterator-traits-drive-for-loops-and-comprehensions.hd	hd test audit/probes/claims/p83-iterator-impl.hd ; hd run --entry main test/fixtures/compiler/63-generic-iterator-traits-drive-for-loops-and-comprehensions.hd	verified	
C125	MVP_PLAN:223-226;README:247-249	map[K,V]: insertion order, duplicate replacement, get/index lookup, remove, scalar/string keys	audit/probes/claims/p32-map-order.hd ; test/fixtures/compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord.hd ; spec/conformance/runtime/valid/map-insertion-order.hd	hd test audit/probes/claims/p32-map-order.hd ; hd run --entry main test/fixtures/compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord.hd ; hd check spec/conformance/runtime/valid/map-insertion-order.hd && hd test spec/conformance/runtime/valid/map-insertion-order.hd	verified	
C126	MVP_PLAN:227-232;README:183-186	== / != through explicit PartialEq and generic dictionaries; structural composites; no implicit data equality	audit/probes/claims/p45-partialeq-generic-nested.hd ; audit/probes/claims/p43-equality-structural.hd ; audit/probes/claims/p44-no-implicit-equality.hd	hd test audit/probes/claims/p45-partialeq-generic-nested.hd ; hd test audit/probes/claims/p43-equality-structural.hd ; hd check audit/probes/claims/p44-no-implicit-equality.hd	verified	
C127	MVP_PLAN:233-236	PartialOrd: lexicographic tuples/lists, nil-first optionals, unordered float components make all four relational operators false	audit/probes/claims/p42-ordering-nan.hd ; audit/probes/claims/p91-f64-relational.hd	hd test audit/probes/claims/p42-ordering-nan.hd ; hd test audit/probes/claims/p91-f64-relational.hd	contradicted	f64 relational comparison crashes codegen (Binaryen parse error)
C128	MVP_PLAN:236-239	Comparison strategies nest through erased composites to element impls and bound dictionaries	audit/probes/claims/p45-partialeq-generic-nested.hd ; spec/conformance/runtime/valid/partial-ordering-dispatch.hd ; spec/conformance/runtime/valid/structural-ordering.hd	hd test audit/probes/claims/p45-partialeq-generic-nested.hd ; hd check spec/conformance/runtime/valid/partial-ordering-dispatch.hd && hd test spec/conformance/runtime/valid/partial-ordering-dispatch.hd ; hd check spec/conformance/runtime/valid/structural-ordering.hd && hd test spec/conformance/runtime/valid/structural-ordering.hd	verified	
C129	MVP_PLAN:241-245	Record/replay events carry a name-based site id that survives unrelated declaration insertion	audit/probes/gates/s5/round-trip.hd ; audit/probes/gates/s5/inserted-unrelated-before.hd ; audit/probes/gates/s5/inserted-unrelated-between.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C130	MVP_PLAN:245-246	Replay rejects changed executed functions	audit/probes/gates/s5/changed-executed-nonsuspending-helper.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	contradicted	changed non-suspending helper replays silently with a new result (44); corroborates F-401
C131	MVP_PLAN:243 (source-derived code identity)	Replay accepts edits that do not change executed code (unexecuted helper, comment)	audit/probes/gates/s5/comment-inside-executed.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	contradicted	comment-only edit inside an executed function breaks replay
C132	MVP_PLAN:246	Replay rejects incompatible provider configurations	audit/probes/gates/s5/host-changed-configuration.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C133	MVP_PLAN:245-247	Replay rejects missing and extra events	audit/probes/gates/s5/missing-event.hd ; audit/probes/gates/s5/extra-event.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C134	MVP_PLAN:250-252;README:228-229	Host replay restores recorded results without calling the host	audit/probes/gates/s5/host-round-trip.hd ; audit/probes/gates/s5/host-tampered-value-restored.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C135	MVP_PLAN:251-252	Replay checks recorded host arguments	audit/probes/gates/s5/host-changed-argument.hd ; audit/probes/gates/s5/host-tampered-argument.hd	node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C136	MVP_PLAN:252-255;README:97-98,230-231	Replay values: tagged integers, exact f64 bits incl. -0/inf/NaN, hex UTF-8	test/fixtures/suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd ; test/fixtures/suspension/32-host-provider-polls-record-and-replay.hd	hd test --profile ready-float test/fixtures/suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd ; hd test --profile ready-gate test/fixtures/suspension/32-host-provider-polls-record-and-replay.hd	verified	NaN/inf replay checked only in TS test (UNVERIFIED by CLI)
C137	MVP_PLAN:258-260;README:28-32	Every development command works through the packaged hd entrypoint	audit/evidence/02-claims/cli.log ; audit/evidence/02-claims/cli.log ; audit/evidence/02-claims/cli.log ; audit/evidence/02-claims/cli.log ; audit/probes/gates/s5/round-trip.hd	see cli.log (trace) ; see cli.log (explain-requirements) ; see cli.log (dump-hir) ; see cli.log ((start) ; node --experimental-strip-types audit/scripts/coverage/s5-replay.ts	verified	
C138	README:5-6,270-272	Features outside the current slice receive stable diagnostics (MVP goal 5)	audit/evidence/02-coverage/unselected-classified.tsv	node --experimental-strip-types audit/scripts/coverage/runner.ts conformance audit/evidence/02-coverage/unselected-manifest.tsv	contradicted	see 2.1: 7 of 51 deferred cases get unsupported-*
C139	README:41	Indentation-sensitive lexing with spans and structured diagnostics	spec/conformance/parse/invalid/tab-indentation.hd ; test/fixtures/frontend/13-tabs-and-inconsistent-dedents-are-rejected-by-the-lexer.hd	hd parse spec/conformance/parse/invalid/tab-indentation.hd ; hd check test/fixtures/frontend/13-tabs-and-inconsistent-dedents-are-rejected-by-the-lexer.hd	verified	
C140	README:55	Recursive-descent parser accepts the chapter-02 core grammar (inline if/else, relative use paths, positional payloads)	audit/evidence/02-coverage/unselected-classified.tsv	node --experimental-strip-types audit/scripts/coverage/runner.ts conformance audit/evidence/02-coverage/unselected-manifest.tsv	contradicted	5 parse/valid fixtures accepted by reference parser are rejected
